,left_side,right_side,similairity
2703,528 S FIFTY-SEVENTH W AVE,1128 S FIFTY-SEVENTH W AVE,0.855334132205541
2705,532 S FIFTY-SEVENTH W AVE,1132 S FIFTY-SEVENTH W AVE,0.8676984705741189
2706,532 S FIFTY-SEVENTH W AVE,512 S FIFTY-SEVENTH W AVE,0.8259057974633436
2708,534 S FIFTY-SEVENTH W AVE,524 S FIFTY-SEVENTH W AVE,0.8012985632609161
2861,63 NORTH LEWIS PLACE,33 NORTH LEWIS PLACE,0.899440609817268
2862,63 NORTH LEWIS PLACE,33 NORTH LEWIS PLACE,0.899440609817268
2874,703 EAST TECUMSEH STREET ,523 EAST TECUMSEH STREET,0.847612721730531
2877,719 NORTH ROCKFORD AVENUE,923 NORTH ROCKFORD AVENUE,0.8086930632918103
3306,753 EAST SEMINOLE PLACE ,503 EAST SEMINOLE PLACE,0.8213407043329508
3307,753 EAST SEMINOLE PLACE ,753 E. SEMINOLE PL.,0.8105306140810861
3320,812 S FIFTY-EIGHTH W AVE,412 S FIFTY-EIGHTH W AVE,0.8916484842624964
3321,812 S FIFTY-EIGHTH W AVE,422 S FIFTY-EIGHTH W AVE,0.8088575866096948
3324,823 S FIFTY-NINTH W AVE,423 S FIFTY-NINTH W AVE,0.8812661421708449
3325,823 S FIFTY-NINTH W AVE,923 S FIFTY-NINTH W AVE,0.874324242809239
3326,823 S FIFTY-NINTH W AVE,813 S FIFTY-NINTH W AVE,0.8122651699103532
3327,823 S FIFTY-NINTH W AVE,813 S FIFTY-NINTH W AVE,0.8122651699103532
3328,823 S FIFTY-NINTH W AVE,403 S FIFTY-NINTH W AVE,0.8028795051243485
3330,830 S FIFTY-EIGHTH W AVE,430 S FIFTY-EIGHTH W AVE,0.8689032478174594
3331,830 S FIFTY-EIGHTH W AVE,1130 S FIFTY-EIGHTH W AVE,0.8460647262696439
3352,920 S FIFTY-NINTH W AVE,430 S FIFTY-NINTH W AVE,0.8029368026966488
3354,921 S FIFTY-NINTH W AVE,411 S FIFTY-NINTH W AVE,0.8068793204833831
3355,921 S FIFTY-NINTH W AVE,411 S FIFTY-NINTH W AVE,0.8068793204833831
3357,923 NORTH ROCKFORD AVENUE,719 NORTH ROCKFORD AVENUE,0.8086930632918103
3359,923 S FIFTY-NINTH W AVE,823 S FIFTY-NINTH W AVE,0.874324242809239
3360,923 S FIFTY-NINTH W AVE,423 S FIFTY-NINTH W AVE,0.874324242809239
3361,923 S FIFTY-NINTH W AVE,813 S FIFTY-NINTH W AVE,0.8058668042014813
3362,923 S FIFTY-NINTH W AVE,813 S FIFTY-NINTH W AVE,0.8058668042014813
3715,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
3716,CHEYENNE PARK HISTORIC DISTRICT,CHEYENNE HISTORIC DISTRICT,0.8131816023285167
